buy_price,sell_price,gain,buy_sequence_number,sell_sequence_number,pnl
81611.48000000001,81611.485,True,15,18,0.004999999990104698
81611.485,81614.65,True,16,19,3.169999999983702
81611.485,81620.975,True,17,20,12.65999999998894
81611.485,81614.41500000001,True,18,21,15.589999999996508
81614.65,81616.155,True,19,22,17.095000000001164
81620.975,81616.11,False,20,23,12.229999999995925
81614.41500000001,81616.04999999999,True,21,24,13.864999999976135
81616.155,81615.995,False,22,25,13.704999999972642
81616.11,81615.945,False,23,26,13.539999999979045
81616.04999999999,81611.92,False,24,27,9.40999999998894
81615.995,81611.485,False,25,28,4.899999999994179
81615.945,81611.92,False,26,29,0.8749999999854481
81611.92,81614.41,True,27,30,3.3649999999906868
81611.485,81614.42499999999,True,28,31,6.304999999978463
81611.92,81614.42499999999,True,29,32,8.809999999968568
81614.41,81614.42499999999,True,30,33,8.824999999953434
81614.42499999999,81620.785,True,32,35,15.184999999968568
81614.42499999999,81620.785,True,33,36,21.544999999983702
81628.285,81629.33499999999,True,77,80,22.59499999997206
81629.32500000001,81629.32500000001,False,93,96,22.59499999997206
81629.32500000001,81629.32500000001,False,94,97,22.59499999997206
81629.32500000001,81629.32500000001,False,95,98,22.59499999997206
81636.77,81636.67000000001,False,106,109,22.49499999998079
81639.46,81637.58499999999,False,107,110,20.61999999996624
81636.66,81638.41500000001,True,108,111,22.374999999970896
81636.67000000001,81633.69,False,109,112,19.39499999996042
81637.58499999999,81634.125,False,110,113,15.934999999968568
81638.41500000001,81629.435,False,111,114,6.9549999999580905
81633.69,81629.32500000001,False,112,115,2.5899999999674037
81629.435,81629.32500000001,False,114,117,2.4799999999813735
81629.32500000001,81629.32500000001,False,115,118,2.4799999999813735
81629.32500000001,81629.32500000001,False,116,119,2.4799999999813735
81629.33499999999,81635.22,True,127,130,8.364999999990687
81635.10500000001,81640.82999999999,True,128,131,14.089999999967404
81635.18,81641.57500000001,True,129,132,20.48499999998603
81635.22,81641.57500000001,True,130,133,26.839999999996508
81640.82999999999,81641.57500000001,True,131,134,27.585000000020955
81641.57500000001,81641.57500000001,False,132,135,27.585000000020955
81641.57500000001,81641.475,False,134,137,27.485000000015134
81641.57500000001,81641.475,False,135,138,27.385000000009313
81635.575,81641.475,True,136,139,33.285000000018044
81646.335,81657.63,True,152,155,44.5800000000163
81649.395,81669.9,True,153,156,65.0850000000064
81651.06,81674.345,True,154,157,88.3700000000099
81657.63,81674.36,True,155,158,105.10000000000582
81669.9,81674.38,True,156,159,109.5800000000163
81674.345,81674.89,True,157,160,110.12500000001455
81674.36,81674.93,True,158,161,110.69500000000698
81674.38,81676.18,True,159,162,112.49499999999534
81674.89,81683.17499999999,True,160,163,120.77999999998428
81674.93,81683.17499999999,True,161,164,129.02499999997963
81676.18,81688.015,True,162,165,140.85999999998603
81683.17499999999,81695.01,True,163,166,152.69499999999243
81683.17499999999,81696.015,True,164,167,165.5350000000035
81688.015,81702.0,True,165,168,179.52000000000407
81695.01,81707.89,True,166,169,192.40000000000873
81696.015,81707.89,True,167,170,204.27500000000873
81702.0,81707.89,True,168,171,210.16500000000815
81707.89,81707.89,False,169,172,210.16500000000815
81707.89,81707.89,False,170,173,210.16500000000815
81707.89,81707.89,False,171,174,210.16500000000815
81707.89,81707.89499999999,True,173,176,210.16999999999825
81707.89,81707.89499999999,True,174,177,210.17499999998836
81716.765,81724.975,True,188,191,218.38499999999476
81717.38500000001,81725.94,True,189,192,226.93999999998778
81717.38500000001,81727.55,True,190,193,237.10499999998137
81724.975,81725.39499999999,True,191,194,237.52499999996508
81725.94,81725.315,False,192,195,236.89999999996508
81727.55,81725.315,False,193,196,234.6649999999645
81725.39499999999,81730.025,True,194,197,239.29499999996915
81730.025,81731.89499999999,True,197,200,241.1649999999645
81730.025,81737.745,True,198,201,248.88499999996566
81731.89499999999,81744.345,True,199,202,261.3349999999773
81731.89499999999,81744.10500000001,True,200,203,273.54499999999825
81737.745,81742.895,True,201,204,278.695000000007
81744.345,81742.73000000001,False,202,205,277.0800000000163
81744.10500000001,81742.725,False,203,206,275.70000000001164
81742.895,81744.76,True,204,207,277.5650000000023
81742.73000000001,81744.805,True,205,208,279.63999999998487
81744.76,81741.195,False,207,210,276.0749999999971
81744.805,81734.45,False,208,211,265.72000000000116
81743.66,81733.48000000001,False,209,212,255.54000000000815
81734.45,81729.985,False,211,214,251.07500000001164
81733.48000000001,81730.005,False,212,215,247.60000000000582
81727.645,81730.04000000001,True,213,216,249.9950000000099
81729.985,81732.115,True,214,217,252.12500000001455
81730.005,81733.375,True,215,218,255.4950000000099
81730.04000000001,81733.375,True,216,219,258.83000000000175
81732.115,81733.375,True,217,220,260.0899999999965
81733.375,81733.375,False,218,221,260.0899999999965
81733.375,81733.375,False,219,222,260.0899999999965
81733.375,81733.375,False,220,223,260.0899999999965
81733.375,81733.375,False,221,224,260.0899999999965
81733.375,81733.375,False,223,226,260.0899999999965
81733.375,81733.375,False,224,227,260.0899999999965
81733.375,81733.375,False,225,228,260.0899999999965
81733.375,81741.185,True,226,229,267.8999999999942
81733.375,81741.185,True,227,230,275.70999999999185
81742.875,81731.685,False,241,244,264.5199999999895
81731.685,81731.685,False,244,247,264.5199999999895
81731.685,81731.685,False,245,248,264.5199999999895
81731.685,81722.185,False,246,249,255.01999999998952
81722.185,81722.185,False,250,253,255.01999999998952
81722.185,81722.185,False,251,254,255.01999999998952
81722.185,81722.185,False,252,255,255.01999999998952
81722.185,81722.185,False,254,257,255.01999999998952
81722.185,81722.185,False,256,259,255.01999999998952
81725.555,81722.195,False,263,266,251.6600000000035
